"","Id","name","popularity","followers","profile","images","genre"
"22",24,"Robert Palmer",61,887786,"https://open.spotify.com/artist/530Sdm7eqqzWBdDmILMgnu","https://i.scdn.co/image/4efdf990608b73dab16cba6c80c530cb6f970aa5","art rock"
"23",31,"Ambrosia",54,337391,"https://open.spotify.com/artist/0J2Ej2rMQyqaUX3G6MUISw","https://i.scdn.co/image/1bc5d2c53780cd995ec55ec666c7241c932a2232","album rock"
"24",32,"Boz Scaggs",60,702100,"https://open.spotify.com/artist/46njgd2Rq9tZc4ZjeQMgbh","https://i.scdn.co/image/ab67616100005174143feea39a3275bfc4ea5f11","album rock"
"25",37,"Glass Tiger",47,130731,"https://open.spotify.com/artist/53RaPTbZOx2mBoZD6LLWIv","https://i.scdn.co/image/ab67616100005174e9ce4b69d5919d5997715aa5","classic canadian rock"
"26",38,"Wang Chung",56,288200,"https://open.spotify.com/artist/6Zh3xrWlA0SA9Fsfj9AVwm","https://i.scdn.co/image/3cc6fe2f6ee10954302d1b24dacc140585fedbd8","mellow gold"
"27",39,"Atlanta Rhythm Section",50,252022,"https://open.spotify.com/artist/0WgyCbru4tXnMsbTmX4mFw","https://i.scdn.co/image/ab67616100005174d8bf9437c1c695ca517c9710","art rock"
"28",40,"Christopher Cross",65,871792,"https://open.spotify.com/artist/695W5F2Ih8dYahLdjVOIoH","https://i.scdn.co/image/ab67616100005174a2e75d072e19a6150744f924","album rock"
"29",41,"Shawn Mullins",45,42322,"https://open.spotify.com/artist/4TROLx8HvrnfGGNo2ngL2N","https://i.scdn.co/image/61fd30ee9e58ced3b79b627104e912cb588db0fd","pop rock"
"30",45,"Joan Osborne",56,176479,"https://open.spotify.com/artist/0djV4iaxhNfYWpH60ia85o","https://i.scdn.co/image/ab67616100005174e521dfff71ae1299e3a02e26","new wave pop"
"31",46,"James Taylor",69,2250252,"https://open.spotify.com/artist/0vn7UBvSQECKJm2817Yf1P","https://i.scdn.co/image/ab676161000051745921cb8f2ec7bf6b5e725bcc","classic rock"
"32",47,"Melissa Etheridge",54,415160,"https://open.spotify.com/artist/01Ppu7N8uYJI8SAONo2YZA","https://i.scdn.co/image/ab676161000051748991ee3a3cbd9f1c4518805a","lilith"
"33",48,"Joshua Kadison",51,27159,"https://open.spotify.com/artist/2VrP5BkyzDhY43dWMlaYjD","https://i.scdn.co/image/4ef3277c0d7af7b43efb3b2bd70c5d6736c08e2f",NA
"34",49,"Bonnie Raitt",63,616606,"https://open.spotify.com/artist/4KDyYWR7IpxZ7xrdYbKrqY","https://i.scdn.co/image/ab67616100005174e86f788af4e127154da1257f","country rock"
"35",50,"Shawn Colvin",47,122624,"https://open.spotify.com/artist/0K7VN4aHxHcEb7PqkfoIVA","https://i.scdn.co/image/ab676161000051746109c02314ee803e3cd73548","country rock"
"36",51,"Natalie Merchant",54,368970,"https://open.spotify.com/artist/73JEBdDEFeVaOLg3y0HhBD","https://i.scdn.co/image/ab67616100005174e122412565ab5dbadc6457b1","lilith"
"37",52,"Sheryl Crow",69,989699,"https://open.spotify.com/artist/4TKTii6gnOnUXQHyuo9JaD","https://i.scdn.co/image/ab67616100005174f27acad0bc622073d9cab662","mellow gold"
"38",53,"Jennifer Warnes",64,68227,"https://open.spotify.com/artist/1BwHztAQKypBuy5WBEdJnG","https://i.scdn.co/image/8b43cc4491dbb8688550f10629bb1ddf1f5a62a4",NA
"39",54,"Amanda Marshall",40,48792,"https://open.spotify.com/artist/2ON3fLFbL1rHfHEjeYNKsO","https://i.scdn.co/image/4cbc73c31420cf60d10a9897f8e2f25f0bc75bd6","lilith"
"40",55,"Carole King",64,1333139,"https://open.spotify.com/artist/319yZVtYM9MBGqmSQnMyY6","https://i.scdn.co/image/301e3043680239e36e2e95b24fdb48a15762ab65","brill building pop"
"41",56,"Tracy Chapman",71,1411234,"https://open.spotify.com/artist/7oPgCQqMMXEXrNau5vxYZP","https://i.scdn.co/image/fe0085416276eb64c28eda1d2ef1feecbaa16d60","lilith"
"42",57,"Van Morrison",74,2739181,"https://open.spotify.com/artist/44NX2ffIYHr6D4n7RaZF7A","https://i.scdn.co/image/ab676161000051745885f6c2d3ecf8e08bdfa472","folk"
"43",58,"Bruce Springsteen",78,5351229,"https://open.spotify.com/artist/3eqjTLE0HfPfh78zjh6TqT","https://i.scdn.co/image/ab67616100005174f7cac48c6b587b927ba73f4e","heartland rock"
"44",59,"Billy Joel",78,4931539,"https://open.spotify.com/artist/6zFYqv1mOsgBRQbae3JJ9e","https://i.scdn.co/image/ab67616100005174712c7643e8aa18a4aca6c811","mellow gold"
"45",60,"Carly Simon",65,983492,"https://open.spotify.com/artist/4FtSnMlCVxCswABUmdhwpm","https://i.scdn.co/image/ab67616100005174d167409d8eff3cc0e9aeb21d","classic rock"
"46",63,"Cutting Crew",63,355206,"https://open.spotify.com/artist/3cniTumSiUysiPWXapGx1i","https://i.scdn.co/image/ab676161000051745677d41157dee225b3633737","mellow gold"
"47",66,"Paul Davis",47,123430,"https://open.spotify.com/artist/6EJmqnuK0r6qiAevFFiNNR","https://i.scdn.co/image/7fb9a7adf5fe2603da53a149407788ac8fd36b5d","bubblegum pop"
"48",67,"Eric Carmen",63,305599,"https://open.spotify.com/artist/2ekjTXgjxbWwBX5lTAj4DU","https://i.scdn.co/image/b418a2d5dd360a27bbe6bb3bf80246a64eb992e2","album rock"
"49",69,"Corey Hart",52,254401,"https://open.spotify.com/artist/0smy8yDrRoI4CnhpOuthg0","https://i.scdn.co/image/ab67616100005174a57b441a0f3f911a3c39bbef","mellow gold"
"50",71,"Peter Cetera",63,825045,"https://open.spotify.com/artist/5xWPOujQqd4wXyB08slZ9Z","https://i.scdn.co/image/8d734393d132bf93acab534772bfd441aa3407f1","mellow gold"
