"","Vertex1","Vertex2"
"870","bruce hornsby","the j. geils band"
"871","don henley","reo speedwagon"
"872","jackson browne","don henley"
"873","steve winwood","jefferson starship"
"874","al stewart","joe walsh"
"875","jefferson starship","boston"
"876","traveling wilburys","bachman-turner overdrive"
"877","jeff lynne","styx"
"878","julian lennon","heart"
"879","boz scaggs","sammy hagar"
"880","todd rundgren","the babys"
"881","joe walsh","head east"
"882","robert plant","pat benatar"
"883","pretenders","night ranger"
"884","mudcrutch","john mellencamp"
"885","lou gramm","ambrosia"
"886","john waite","pablo cruise"
"887","loverboy","loggins & messina"
"888","quarterflash","little river band"
"889","mr. mister","firefall"
"890","glass tiger","dave mason"
"891","glenn frey","stephen bishop"
"892","corey hart","orleans"
"893","eddie money","atlanta rhythm section"
"894","cutting crew","gino vannelli"
"895","reo speedwagon","jefferson starship"
"896","night ranger","dan fogelberg"
"897","starship","pure prairie league"
"898","don henley","nicolette larson"
"899","the babys","michael mcdonald"
"900","john parr","donald fagen"
"901","huey lewis & the news","bob welch"
"902","head east","pure prairie league"
"903","gary wright","jonathan edwards"
"904","firefall","dan fogelberg"
"905","atlanta rhythm section","poco"
"906","the j. geils band","jd souther"
"907","bob welch","the ozark mountain daredevils"
"908","joe walsh","harry chapin"
"909","eddie money","jesse colin young"
"910","38 special","atlanta rhythm section"
"911","pure prairie league","boz scaggs"
"912","three dog night","bob welch"
"913","paul davis","ambrosia"
"914","bachman-turner overdrive","crosby, stills & nash"
"915","billy squier","jd souther"
"916","38 special","firefall"
"917","the j. geils band","the ozark mountain daredevils"
"918","rick springfield","loggins & messina"
"919","reo speedwagon","dave mason"
"920","don henley","jesse colin young"
"921","jefferson starship","atlanta rhythm section"
"922","huey lewis & the news","jonathan edwards"
"923","joe walsh","stephen stills"
"924","boston","chris hillman"
"925","bachman-turner overdrive","new riders of the purple sage"
"926","styx","jefferson starship"
"927","heart","dan fogelberg"
"928","sammy hagar","seals and crofts"
"929","the babys","pablo cruise"
"930","head east","orleans"
"931","night ranger","crosby, stills & nash"
"932","john mellencamp","little river band"
"933","pablo cruise","don henley"
"934","seals and crofts","eddie money"
"935","stephen bishop","pat benatar"
"936","orleans","starship"
"937","atlanta rhythm section","daryl hall & john oates"
"938","gino vannelli","steve perry"
"939","jefferson starship","the romantics"
"940","dan fogelberg","38 special"
"941","paul davis","kenny loggins"
"942","poco","corey hart"
"943","pure prairie league","robert palmer"
"944","nicolette larson","steve winwood"
"945","michael mcdonald","the cars"
"946","donald fagen","the j. geils band"
"947","bob welch","billy squier"
"948","jonathan edwards","level 42"
"949","dan fogelberg","the power station"
"950","seals and crofts","paul young"
"951","poco","mike + the mechanics"
"952","firefall","mr. mister"
"953","dave mason","wang chung"
"954","jd souther","steve winwood"
"955","the ozark mountain daredevils","johnny hates jazz"
"956","pablo cruise","huey lewis & the news"
"957","harry chapin","glenn frey"
"958","jesse colin young","howard jones"
"959","orleans","abc"
"960","atlanta rhythm section","the romantics"
"961","little river band","joe jackson"
"962","jefferson starship","nik kershaw"
"963","boz scaggs","don henley"
"964","ambrosia","thompson twins"
"965","crosby, stills & nash","rick springfield"
"966","pure prairie league","corey hart"
"967","jd souther","john parr"
"968","firefall","lou gramm"
"969","the ozark mountain daredevils","cutting crew"
"970","jesse colin young","rick springfield"
"971","atlanta rhythm section","steve perry"
"972","jonathan edwards","john waite"
"973","stephen stills","honeymoon suite"
"974","chris hillman","quarterflash"
"975","new riders of the purple sage","red rider"
"976","jefferson starship","platinum blonde"
"977","dan fogelberg","starship"
"978","pablo cruise","wang chung"
"979","orleans","gowan"
"980","bob welch","benjamin orr"
"981","crosby, stills & nash","huey lewis & the news"
"982","little river band","tom cochrane"
"983","don henley","orleans"
"984","eddie money","seals and crofts"
"985","loverboy","gary wright"
"986","reo speedwagon","little river band"
"987","glenn frey","ambrosia"
"988","pat benatar","pure prairie league"
"989","starship","poco"
"990","daryl hall & john oates","paul davis"
"991","steve perry","jefferson starship"
"992","the romantics","the ozark mountain daredevils"
"993","38 special","loggins & messina"
"994","kenny loggins","dan fogelberg"
"995","corey hart","nicolette larson"
"996","robert palmer","player"
"997","steve winwood","atlanta rhythm section"
"998","the cars","stephen bishop"
"999","the j. geils band","england dan & john ford coley"
"1000","billy squier","dave mason"
"1001","fine young cannibals","seals and crofts"
"1002","level 42","firefall"
"1003","the power station","loggins & messina"
"1004","paul young","stephen bishop"
"1005","mr. mister","orleans"
"1006","wang chung","pablo cruise"
"1007","steve winwood","england dan & john ford coley"
"1008","johnny hates jazz","little river band"
"1009","huey lewis & the news","art garfunkel"
"1010","glenn frey","poco"
"1011","howard jones","david gates"
"1012","abc","ambrosia"
"1013","the romantics","harry chapin"
"1014","joe jackson","jd souther"
"1015","nik kershaw","bread"
"1016","bryan ferry","rita coolidge"
"1017","thompson twins","captain & tennille"
"1018","rick springfield","melissa manchester"
"1019","corey hart","ambrosia"
"1020","john parr","robbie dupree"
"1021","lou gramm","player"
"1022","cutting crew","pablo cruise"
"1023","mr. mister","stephen bishop"
"1024","loverboy","firefall"
"1025","rick springfield","nicolette larson"
"1026","steve perry","orleans"
"1027","john waite","bertie higgins"
"1028","honeymoon suite","bob welch"
"1029","quarterflash","christopher cross"
"1030","red rider","little river band"
"1031","platinum blonde","england dan & john ford coley"
"1032","starship","melissa manchester"
"1033","glenn frey","seals and crofts"
"1034","wang chung","captain & tennille"
"1035","gowan","gary wright"
"1036","benjamin orr","dan fogelberg"
"1037","huey lewis & the news","robert john"
"1038","tom cochrane","david gates"
"1039","pablo cruise","glenn frey"
"1040","gary wright","bruce hornsby"
"1041","little river band","jefferson starship"
"1042","ambrosia","john mellencamp"
"1043","pure prairie league","jackson browne"
"1044","paul davis","little river band"
"1045","the ozark mountain daredevils","reo speedwagon"
"1046","loggins & messina","the j. geils band"
"1047","dan fogelberg","mr. mister"
"1048","nicolette larson","joe walsh"
"1049","player","loverboy"
"1050","stephen bishop","firefall"
"1051","england dan & john ford coley","mike + the mechanics"
"1052","dave mason","the doobie brothers"
"1053","seals and crofts","don henley"
"1054","firefall","bruce hornsby"
"1055","loggins & messina","glenn frey"
"1056","stephen bishop","robert palmer"
"1057","orleans","mike + the mechanics"
"1058","pablo cruise","jefferson starship"
"1059","england dan & john ford coley","eddie money"
"1060","art garfunkel","mr. mister"
"1061","poco","ambrosia"
"1062","david gates","boz scaggs"
"1063","harry chapin","rick springfield"
"1064","jd souther","jackson browne"
"1065","bread","38 special"
"1066","pure prairie league","glass tiger"
"1067","rita coolidge","wang chung"
"1068","captain & tennille","atlanta rhythm section"
"1069","melissa manchester","christopher cross"
"1070","ambrosia","shawn mullins"
"1071","player","jackson browne"
"1072","stephen bishop","joan osborne"
"1073","firefall","james taylor"
"1074","nicolette larson","melissa etheridge"
"1075","orleans","joshua kadison"
"1076","bertie higgins","bonnie raitt"
"1077","bob welch","shawn colvin"
"1078","christopher cross","natalie merchant"
"1079","little river band","sheryl crow"
"1080","england dan & john ford coley","jennifer warnes"
"1081","melissa manchester","amanda marshall"
"1082","seals and crofts","carole king"
"1083","captain & tennille","tracy chapman"
"1084","gary wright","van morrison"
"1085","dan fogelberg","bruce springsteen"
"1086","robert john","billy joel"
"1087","david gates","carly simon"
"1088","steve winwood","corey hart"
"1089","eddie money","john parr"
"1090","bruce hornsby","starship"
"1091","jefferson starship","wang chung"
"1092","john mellencamp","john waite"
"1093","jackson browne","go west"
"1094","rick springfield","johnny hates jazz"
"1095","little river band","glenn frey"
"1096","38 special","rick springfield"
"1097","reo speedwagon","glass tiger"
"1098","mr. mister","steve perry"
"1099","joe walsh","the power station"
"1100","loverboy","lou gramm"
"1101","firefall","huey lewis & the news"
"1102","mike + the mechanics","kim carnes"
"1103","the doobie brothers","nik kershaw"
"1104","glenn frey","paul carrack"
"1105","robert palmer","paul young"
"1106","huey lewis & the news","richard marx"
"1107","mike + the mechanics","johnny hates jazz"
"1108","little river band","nik kershaw"
"1109","mr. mister","level 42"
"1110","ambrosia","the hooters"
"1111","boz scaggs","glenn frey"
"1112","the j. geils band","don henley"
"1113","rick springfield","chris de burgh"
"1114","jackson browne","cock robin"
"1115","38 special","go west"
"1116","glass tiger","starship"
"1117","wang chung","fine young cannibals"
"1118","atlanta rhythm section","bruce hornsby"
"1119","christopher cross","glass tiger"
"1120","shawn mullins","james taylor"
"1121","bruce hornsby","crosby, stills & nash"
"1122","jackson browne","poco"
"1123","don henley","loggins & messina"
"1124","joan osborne","don henley"
"1125","james taylor","warren zevon"
"1126","melissa etheridge","dan fogelberg"
"1127","joshua kadison","jim croce"
"1128","bonnie raitt","gordon lightfoot"
"1129","shawn colvin","pure prairie league"
"1130","natalie merchant","seals and crofts"
"1131","sheryl crow","firefall"
"1132","jennifer warnes","dave mason"
"1133","amanda marshall","boz scaggs"
"1134","carole king","bruce hornsby"
"1135","tracy chapman","van morrison"
"1136","van morrison","steve winwood"
"1137","bruce springsteen","jefferson starship"
"1138","billy joel","little river band"
"1139","carly simon","stephen stills"
"1140","don henley","christine mcvie"
"1141","mr. mister","pete townshend"
"1142","cutting crew","warren zevon"
"1143","steve perry","bruce hornsby"
"1144","rick springfield","glenn frey"
"1145","paul davis","don henley"
"1146","eric carmen","jackson browne"
"1147","glass tiger","al stewart"
"1148","peter cetera","jefferson starship"
"1149","paul carrack","traveling wilburys"
"1150","quarterflash","jeff lynne"
"1151","daryl hall","julian lennon"
"1152","starship","boz scaggs"
"1153","john waite","todd rundgren"
"1154","lou gramm","joe walsh"
"1155","christopher cross","robert plant"
"1156","sheena easton","pretenders"
"1157","ambrosia","mudcrutch"
"1158","cutting crew","lou gramm"
"1159","corey hart","john waite"
"1160","john parr","rick springfield"
"1161","starship","loverboy"
"1162","mike + the mechanics","quarterflash"
"1163","wang chung","mr. mister"
"1164","john waite","glass tiger"
"1165","go west","glenn frey"
"1166","johnny hates jazz","corey hart"
"1167","glenn frey","eddie money"
"1168","rick springfield","cutting crew"
"1169","glass tiger","reo speedwagon"
"1170","richard marx","night ranger"
"1171","steve perry","38 special"
"1172","the power station","jefferson starship"
"1173","paul young","don henley"
"1174","huey lewis & the news","the babys"
"1175","kim carnes","john parr"
"1176","nik kershaw","huey lewis & the news"
"1177","mr. mister","head east"
"1178","paul young","little river band"
"1179","richard marx","atlanta rhythm section"
"1180","johnny hates jazz","ambrosia"
"1181","robert palmer","the babys"
"1182","level 42","pablo cruise"
"1183","the hooters","joe walsh"
"1184","don henley","loverboy"
"1185","cock robin","poco"
"1186","go west","orleans"
"1187","fine young cannibals","three dog night"
"1188","bruce hornsby","paul davis"
"1189","glass tiger","bachman-turner overdrive"
"1190","james taylor","loverboy"
"1191","don henley","rick springfield"
"1192","warren zevon","reo speedwagon"
"1193","dan fogelberg","don henley"
"1194","jim croce","jefferson starship"
"1195","gordon lightfoot","huey lewis & the news"
