"","Vertex1","Vertex2"
"716","stephen bishop","bruce hornsby"
"717","paul davis","huey lewis & the news"
"718","pablo cruise","john mellencamp"
"719","england dan & john ford coley","jackson browne"
"720","art garfunkel","little river band"
"721","poco","38 special"
"722","david gates","reo speedwagon"
"723","harry chapin","mr. mister"
"724","jd souther","joe walsh"
"725","bread","loverboy"
"726","pure prairie league","steve perry"
"727","rita coolidge","firefall"
"728","captain & tennille","mike + the mechanics"
"729","melissa manchester","the doobie brothers"
"730","ambrosia","don henley"
"731","robbie dupree","bruce hornsby"
"732","player","glenn frey"
"733","firefall","mike + the mechanics"
"734","nicolette larson","jefferson starship"
"735","orleans","eddie money"
"736","bertie higgins","little river band"
"737","bob welch","mr. mister"
"738","little river band","boz scaggs"
"739","melissa manchester","rick springfield"
"740","seals and crofts","jackson browne"
"741","captain & tennille","38 special"
"742","gary wright","glass tiger"
"743","dan fogelberg","wang chung"
"744","robert john","atlanta rhythm section"
"745","david gates","christopher cross"
"746","steve winwood","mr. mister"
"747","eddie money","cutting crew"
"748","bruce hornsby","steve perry"
"749","jefferson starship","paul davis"
"750","john mellencamp","eric carmen"
"751","jackson browne","steve winwood"
"752","little river band","glass tiger"
"753","38 special","peter cetera"
"754","reo speedwagon","paul carrack"
"755","mr. mister","daryl hall"
"756","joe walsh","starship"
"757","loverboy","john waite"
"758","steve perry","lou gramm"
"759","firefall","christopher cross"
"760","mike + the mechanics","sheena easton"
"761","the doobie brothers","ambrosia"
"762","glenn frey","john parr"
"763","robert palmer","starship"
"764","huey lewis & the news","mike + the mechanics"
"765","mike + the mechanics","wang chung"
"766","jefferson starship","john waite"
"767","eddie money","go west"
"768","little river band","johnny hates jazz"
"769","mr. mister","glenn frey"
"770","ambrosia","rick springfield"
"771","boz scaggs","glass tiger"
"772","the j. geils band","richard marx"
"773","rick springfield","steve perry"
"774","jackson browne","the power station"
"775","38 special","lou gramm"
"776","glass tiger","paul young"
"777","wang chung","huey lewis & the news"
"778","atlanta rhythm section","kim carnes"
"779","christopher cross","nik kershaw"
"780","shawn mullins","mr. mister"
"781","bruce hornsby","cutting crew"
"782","jackson browne","paul carrack"
"783","don henley","paul young"
"784","joan osborne","richard marx"
"785","james taylor","johnny hates jazz"
"786","melissa etheridge","robert palmer"
"787","bonnie raitt","nik kershaw"
"788","shawn colvin","level 42"
"789","natalie merchant","the hooters"
"790","sheryl crow","glenn frey"
"791","jennifer warnes","don henley"
"792","amanda marshall","chris de burgh"
"793","carole king","cock robin"
"794","tracy chapman","go west"
"795","bruce springsteen","fine young cannibals"
"796","billy joel","bruce hornsby"
"797","carly simon","glass tiger"
"798","don henley","james taylor"
"799","mr. mister","crosby, stills & nash"
"800","cutting crew","poco"
"801","steve perry","loggins & messina"
"802","rick springfield","don henley"
"803","paul davis","warren zevon"
"804","eric carmen","dan fogelberg"
"805","corey hart","gordon lightfoot"
"806","glass tiger","pure prairie league"
"807","peter cetera","seals and crofts"
"808","paul carrack","firefall"
"809","quarterflash","dave mason"
"810","daryl hall","boz scaggs"
"811","starship","bruce hornsby"
"812","john waite","van morrison"
"813","lou gramm","steve winwood"
"814","christopher cross","jefferson starship"
"815","sheena easton","little river band"
"816","ambrosia","stephen stills"
"817","cutting crew","christine mcvie"
"818","corey hart","pete townshend"
"819","john parr","warren zevon"
"820","mike + the mechanics","glenn frey"
"821","wang chung","don henley"
"822","john waite","jackson browne"
"823","johnny hates jazz","bob welch"
"824","glenn frey","al stewart"
"825","rick springfield","jefferson starship"
"826","glass tiger","traveling wilburys"
"827","richard marx","jeff lynne"
"828","steve perry","julian lennon"
"829","the power station","boz scaggs"
"830","lou gramm","todd rundgren"
"831","paul young","joe walsh"
"832","huey lewis & the news","robert plant"
"833","kim carnes","pretenders"
"834","nik kershaw","mudcrutch"
"835","mr. mister","lou gramm"
"836","cutting crew","john waite"
"837","paul carrack","rick springfield"
"838","paul young","loverboy"
"839","richard marx","quarterflash"
"840","johnny hates jazz","mr. mister"
"841","robert palmer","glass tiger"
"842","nik kershaw","corey hart"
"843","level 42","eddie money"
"844","the hooters","cutting crew"
"845","glenn frey","reo speedwagon"
"846","don henley","night ranger"
"847","chris de burgh","38 special"
"848","cock robin","jefferson starship"
"849","go west","starship"
"850","starship","don henley"
"851","fine young cannibals","the babys"
"852","bruce hornsby","john parr"
"853","glass tiger","huey lewis & the news"
"854","james taylor","head east"
"855","crosby, stills & nash","gary wright"
"856","poco","firefall"
"857","loggins & messina","little river band"
"858","warren zevon","ambrosia"
"859","dan fogelberg","the babys"
"860","jim croce","the j. geils band"
"861","dave mason","loverboy"
"862","bruce hornsby","poco"
"863","van morrison","orleans"
"864","jefferson starship","three dog night"
"865","little river band","paul davis"
"866","stephen stills","bachman-turner overdrive"
"867","christine mcvie","loverboy"
"868","pete townshend","billy squier"
"869","warren zevon","38 special"
